DOI,Authors,Publication Year,Article Title,Abstract,Source Title,Publisher,Author Keywords,Keywords Plus,Addresses,Entities,Entities_TGEN,family,family2,bioactives,bioactives_grouped,Bacteria,gram,FUNG,Entities_Grouped,family_Grouped,Genus,Country
10.3329/bjp.v6i1.8555,"Arumugam, T; Ayyanar, M; Pillai, YJK; Sekar, T",2011,Phytochemical screening and antibacterial activity of leaf and callus extracts of Centella asiatica,"The present study shows the phytochemical analysis and antibacterial activity of leaf and callus of Centella asiatica. Leaf explants of C. asiatica were cultured on MS medium supplemented with different concentration of plant growth regulators for callus initiation. The maximum percentage of callusing was achieved in medium supplemented with 6-benzylaminopurine 4.0 mg/Land 2,4-dichlorophenoxyacetic acid 2.0 mg/L. In the preliminary phytochemical screening, alkaloids, glycosides, terpenoids, steroids, flavonoids, tannins, saponins and reducing sugars were present in most of the tested extracts of leaf and in vitro grown callus of C. asiatica. Methanol, acetone, chloroform and water extracts of leaf and callus were evaluated for in vitro antibacterial activity against Bacillus cereus, Escherichia coli, Staphylococcus aureus and Pseudomonas aeruginosa by agar plate well diffusion method. All the extracts from leaf and callus of C. asiatica showed significant antibacterial activity against the tested organisms. However, methanol extracts of leaf and callus showed maximum inhibitory effect.",BANGLADESH JOURNAL OF PHARMACOLOGY,BANGLADESH PHARMACOLOGICAL SOC,Antibacterial activity; Callus induction; Centella asiatica,PLANT-REGENERATION; L. URBAN; CULTURES; LINN.,"[Arumugam, Thangavel; Ayyanar, Muniappan; Sekar, Thangavel] Pachaiyappas Coll, Dept Bot, Madras 600030, Tamil Nadu, India; [Pillai, Yesudason Justin Koil] Sathyabama Univ, Dept Biotechnol, Madras 600119, Tamil Nadu, India",Centella asiatica,,Apiaceae,,"noise, tannins, terpenoids, alkaloids, flavonoids, saponins, steroids","noise, tannins, terpenoids, alkaloids, flavonoids, saponins, steroids","Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa, Bacillus cereus","positive, negative, negative, positive",,Centella asiatica,Apiaceae,Centella,India
10.3390/molecules27113560,"Buza, V; Niculae, M; Hanganu, D; Pall, E; Burtescu, RF; Olah, NK; Matei-Latiu, MC; Vlasiuc, I; Iozon, I; Szakacs, AR; Ielciu, I; Stefanut, LC",2022,Biological Activities and Chemical Profile of Gentiana asclepiadea and Inula helenium Ethanolic Extracts,"This study aimed to investigate the antioxidant, antimicrobial, and cytotoxic potential of ethanolic extracts obtained from Gentiana asclepiadea L. and Inula helenium L. roots, in relation to their chemical composition. The total polyphenols, flavonoids, and phenolic acids were determined by spectrophotometric methods, while LC-MS analysis was used to evaluate the individual constituents. The antioxidant properties were tested using the FRAP and DPPH methods. The standard well diffusion and broth microdilution assays were carried out to establish in vitro antimicrobial efficacy and minimum inhibitory and bactericidal concentrations. The cytotoxicity was tested on rat intestinal epithelial cells using the MTT assay. The results pointed out important constituents such as secoiridoid glycoside (amarogentin), phenolic acids (caffeic acid, chlorogenic acid, trans-p-coumaric acid, salicylic acid), and flavonoids (apigenin, chrysin, luteolin, luteolin-7-O-glucoside, quercetin, rutoside, and naringenin) and promising antioxidant properties. The in vitro antimicrobial effect was noticed towards several pathogens (Bacillus cereus > Staphylococcus aureus > Enterococcus faecalis > Salmonella typhimurium and Salmonella enteritidis > Escherichia coli), with a pronounced bactericidal activity. Rat intestinal epithelial cell viability was not affected by the selected concentrations of these two extracts. These data support the ethnomedicinal recommendations of these species and highlight them as valuable sources of bioactive compounds.",MOLECULES,MDPI,Inula helenium L; Gentiana asclepiadea L; ethanolic extracts; roots; chemical profile; antioxidant; antimicrobial; cytotoxic,ANTIMICROBIAL ACTIVITY; PHENOLIC-COMPOUNDS; L.; ANTIOXIDANT; ROOT; ANTIBACTERIAL; TOXICITY,"[Buza, Victoria; Matei-Latiu, Maria-Catalina; Iozon, Ilinca; Stefanut, Laura Cristina] Univ Agr Sci & Vet Med Cluj Napoca, Fac Vet Med, Dept Anim Physiol, Cluj Napoca 400372, Romania; [Niculae, Mihaela; Pall, Emoke] Univ Agr Sci & Vet Med Cluj Napoca, Fac Vet Med, Dept Infect Dis, Cluj Napoca 400372, Romania; [Hanganu, Daniela] Iuliu Hatieganu Univ Med & Pharm, Fac Pharm, Dept Pharmacognosy, Cluj Napoca 400010, Romania; [Burtescu, Ramona Flavia; Olah, Neli-Kinga] SC PlantExtrakt SRL, Radaia 407059, Romania; [Olah, Neli-Kinga] Vasile Goldis Western Univ Arad, Fac Pharm, Arad 310045, Romania; [Vlasiuc, Ion] Univ Agr Sci & Vet Med Cluj Napoca, Fac Vet Med, Dept Anat, Cluj Napoca 400374, Romania; [Szakacs, Andrei Radu] Univ Agr Sci & Vet Med Cluj Napoca, Fac Vet Med, Dept Anim Nutr, Cluj Napoca 400374, Romania; [Ielciu, Irina] Iuliu Hatieganu Univ Med & Pharm, Fac Pharm, Dept Pharmaceut Bot, Cluj Napoca 400010, Romania","Gentiana asclepiadea, Inula helenium",,"Gentianaceae, Asteraceae",,"noise, iridoids, phenolics, flavonoids, phenolics, coumarins","noise, iridoids, phenolics, flavonoids, phenolics, coumarins","Staphylococcus aureus, Escherichia coli, Bacillus cereus, Enterococcus faecalis","positive, negative, positive, positive",,"Gentiana asclepiadea, Inula helenium","Gentianaceae, Asteraceae","Gentiana, Inula",Romania
,"Ishtiaq, S; Ashraf, M; Hayat, MQ; Asrar, M",2013,Phytochemical Analysis of Nigella sativa and its Antibacterial Activity against Clinical Isolates Identified by Ribotyping,"The study was carried out to find in vitro anti-bacterial activity of Nigella sativa extracts against seven clinical isolates identified by ribotyping. Crude Extracts of N. sativa in eight organic solvents (Aqueous, Methanol, Ethanol, Cloroform, Butanol, Diethyl ether, n-Hexane and Acetone) were evaluated at 5 different concentrations 100 mg/mL, 50 mg/mL, 25 mg/mL, 10 mg/mL and 5 mg/mL by using disk diffusion method against human pathogenic bacterial strains including Gram-positive bacteria (Enterococcus faecalis JARS 1, Staphylococuss aureus IARS4) and Gram-Negative bacteria (Acinetobacter junii IARS2, Escherichia coli IARS3, Proteus mirabilis IARS5, Serratia marcescens IARS6, Enterobacter cloacae IARS7). All the organic N. sativa extracts with minimum concentration of 5 mg/mL showed effective growth inhibition against the tested pathogenic bacterial strains. Standard antibiotics ceftriaxone 100 mu g/mL, Amoxycillin 100 mu g/mL, Gentamycin 100 mu g/mL were used as a positive control. Out of eight extracts Methanolic, Ethanolic, Chloroform, n-Hexane and Acetonic extracts showed maximum antibacterial activity. N. sativa extracts were screened for qualitative detection of secondary metabolites and it showed that steroids, tannins, flavanoids, coumarins, cardiac glycosides, saponins and diterpenes were present in methanolic and ethanolic extract of N. sativa. The results of this study will provide an insight to characterize bioactive compounds from these extracts, which can act as strong bacterial growth inhibitor against wide range of infectious disease caused by pathogenic bacteria. (C) 2013 Friends Science Publishers",INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,FRIENDS SCIENCE PUBL,Phytochemical analysis; Nigella sativa; Anti-bacterial activity; Disk diffusion; Ribotyping,OIL,"[Ishtiaq, Shabina; Ashraf, Muhammad; Hayat, Muhammad Qasim] Natl Univ Sci & Technol NUST, Med Plants Res Grp, Dept Plant Biotechnol, Atta Ur Rahman Sch Appl Biosci ASAB, Islamabad, Pakistan; [Asrar, Mudassir] Minist Sci & Technol MoST, Pakistan Council Sci & Technol PCST, Islamabad, Pakistan",Nigella sativa,,Ranunculaceae,,"diterpenes, noise, tannins, flavonoids, saponins, steroids, coumarins","diterpenes, noise, tannins, flavonoids, saponins, steroids, coumarins","Proteus mirabilis, Enterobacter cloacae, Enterococcus faecalis, Escherichia coli, Acinetobacter junii, Serratia marcescens","negative, negative, positive, negative, negative, negative",,Nigella sativa,Ranunculaceae,Nigella,Pakistan
10.1016/j.foodres.2015.07.008,"Bittencourt, MLF; Ribeiro, PR; Franco, RLP; Hilhorst, HWM; de Castro, RD; Fernandez, LG",2015,"Metabolite profiling, antioxidant and antibacterial activities of Brazilian propolis: Use of correlation and multivariate analyses to identify potential bioactive compounds","The production of propolis by honeybees results from a selective collection of exudates from various plant species and present many potentialities in the pharmaceutical industry. The objective of this study was to investigate the chemical profile of Brazilian propolis, as well as their in vitro antioxidant and antibacterial activities. Gas chromatography-mass spectrometry was applied for chemical profiling of propolis extracts. Total phenolic compounds were quantified by Folin-Ciocalteu and antioxidant properties were assessed by 2,2-diphenyl-1-picrylhydrazyl radical scavenging assay. Antibacterial activity was assessed against Staphylococcus aureus, Bacillus subtilis, and Micrococcus luteus. Correlation and multivariate statistical analysis were used to identify potential bioactive compounds in the extracts. Twenty-nine metabolites were identified along with 34 other metabolites that were classified into the following classes: triterpenoids (12), acetyltriterpenoids (3), sesquiterpenes (6), steroids (4), and hydrocarbons (9). The antioxidant capacity (IC50) ranged from 21.50 to 78.77 mu g/mL, whereas the content of total phenolic compounds ranged from 31.88 to 204.30 mg GAE/g of dry weight Total phenolic compounds and methyl retinoate showed a positive correlation with the antioxidant capacity, whereas tetradecanal, gamma-palinitolactone and ethyl hydrocinnamate showed a negative correlation. Different sets of metabolites are shown to correlate with the antibacterial activity of the extracts, which is largely dependent on the type of microorganism. This innovative approach allowed us to identify likely bioactive compounds in the extracts, although the mechanism(s) underlying antibacterial activity encompass a complex trait, which might involve synergistic effects. (C) 2015 Elsevier Ltd. All rights reserved.",FOOD RESEARCH INTERNATIONAL,ELSEVIER SCIENCE BV,Antibacterial activity; Antioxidant capacity; Baccharis dracunculifolia; Hyptis divaricate; Medicinal properties; Metabolomics,PRINCIPAL COMPONENT ANALYSIS; CHEMICAL-COMPOSITION; GREEN PROPOLIS; BACCHARIS-DRACUNCULIFOLIA; BOTANICAL ORIGIN; ESSENTIAL OIL; PLANT-ORIGIN; GC-MS; ANTIMICROBIAL ACTIVITIES; PHENOLIC-COMPOUNDS,"[Bittencourt, Mara L. F.; Ribeiro, Paulo R.; Franco, Rosana L. P.; de Castro, Renato D.; Fernandez, Luzimar G.] Univ Fed Bahia LBBB ICS UFBA, Inst Ciencias Saude, Dept Biofuncao, Lab Bioquim Biotecnol & Bioprod, BR-40160100 Salvador, BA, Brazil; [Ribeiro, Paulo R.; Hilhorst, Henk W. M.] Wageningen Univ, Wageningen Seed Lab, Lab Plant Physiol, NL-6708 PB Wageningen, Netherlands",##olis,"Baccharis dracunculifolia, Hyptis divaricate",,"Asteraceae, ","triterpenoids, phenolics, steroids, triterpenoids, sesquiterpenes","triterpenoids, phenolics, steroids, triterpenoids, sesquiterpenes","Bacillus subtilis, Staphylococcus aureus, Micrococcus luteus","positive, positive, positive",,"Baccharis dracunculifolia, Hyptis divaricate","Asteraceae, ","Baccharis, Hyptis",Brazil
10.5281/zenodo.10730397,"Larasati, AG; Putri, AS; Rosamah, E; Kuspradini, H",2024,CHARACTERISTICS OF DISTILLED LIQUID RESIDUES FROM Litsea elliptica BLUME,"Liquid residue is a by-product of distillation, where the main product is essential oil. Residue is the waste that remains after the distillation process in certain chemical processes. Depending on its potential value, the residue can be reused if further processing is done to convert it into a more profitable product. To determine the potential of the liquid residue, phytochemical analysis, antioxidant activity assays, and antimicrobial assays were conducted on the liquid residue obtained from the Litsea elliptica plant. This research includes distillation, qualitative phytochemical analysis, antioxidant, and antimicrobial assays. The antioxidant assay was carried out using the DPPH method. The microorganisms used in the antimicrobial assay were Staphylococcus aureus and Candida albicans. Qualitative phytochemical analysis showed the presence of several active compounds in Litsea elliptica liquid residue. This indicates the presence of antioxidant activity, with a free radical inhibition rate of 75.91%. In addition, the antimicrobial test showed its inhibitory effect on the growth of Staphylococcus aureus bacteria. It is important to note that this study provides valuable insights into the potential uses and properties of the liquid residue from Litsea elliptica. Further research is recommended to explore and maximize the benefits of this liquid residue.",INTERNATIONAL JOURNAL OF AGRICULTURE AND NATURAL RESOURCES,"PONTIFICIA UNIV CATOLICA CHILE, FAC AGRONOMIA INGENIERIA FORESTAL",Antimicrobial; antioxidant; liquid residue; water; and steam distillation,ANTIOXIDANT ACTIVITIES; EAST KALIMANTAN; ESSENTIAL OILS; ANTIBACTERIAL; PLANTS,"[Larasati, Anisa Gifta; Putri, Agmi Sinta; Rosamah, Enih; Kuspradini, Harlinda] Mulawarman Univ, Fac Forestry, Samarinda, Indonesia",Litsea elliptica,,Lauraceae,,noise,noise,Staphylococcus aureus,positive,Candida albicans,Litsea elliptica,Lauraceae,Litsea,Indonesia
10.1007/s13596-018-0339-5,"Alagarsamy, S; Chellappan, P; Jesuraj, MT; Mohan, MSG; Balakrishnan, R",2018,Phytochemical analysis and antioxidant potential of the crude extract of Allium oschaninii scape,"The present study focuses on the antioxidant potential of aqueous and ethanolic extracts of the scape of Allium oschaninii. Phytochemical analysis and total phenolic content for both the extracts and Total flavonoid content for ethanolic extract were determined. Anti-microbial activity of different concentrations of both the extracts against Pseudomonas aeruginosa, Escherichia coli, Staphylococcus aureus, and Bacillus cereus was investigated. The total antioxidant power (TAP), 2,2-azino-bis(3-ethylbenzothiazoline-6-sulphonic acid) (ABTS), 2,2-diphenyl-1-picrylhydrazyl (DPPH) and Ferric reducing ability of plasma (FRAP) assays were carried out. IC50 values of aqueous and ethanolic extract to scavenge ABTS and DPPH free radical were determined as 0.2524, 0.5467 and 0.6155, 0.9591 (mg/mL) respectively. FRAP and TAP results of both aqueous and ethanolic extracts were determined to be 2530.972 and 1199.86 (mu mol of Fe2+ per 1000 mu g of extract) and 84.13 +/- 5.51 and 141.88 +/- 40.49 (equivalent mg of ferulic acid per 150mg dried sample) respectively. These results signify the antioxidant power potential of the scape of A.oschaninii.",ORIENTAL PHARMACY AND EXPERIMENTAL MEDICINE,SPRINGER,Onion scape; Allium Sp; Antioxidant activity; Phytochemical analysis; Free radicals,TOTAL PHENOLIC CONTENT; ANTIMICROBIAL ACTIVITY; FLAVONOID CONTENT; CEPA; L.; SHALLOT,"[Alagarsamy, Seenivasaperumal; Chellappan, Pandiselvam; Jesuraj, Michel Thomas; Mohan, Manoj Saravana Guru; Balakrishnan, Rengesh] Kamaraj Coll Engn & Technol, Dept Biotechnol, Ctr Res, Virudunagar 625701, Tamil Nadu, India",Allium oschaninii,,Amaryllidaceae,,"phenolics, flavonoids","phenolics, flavonoids","Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa, Bacillus cereus","positive, negative, negative, positive",,Allium oschaninii,Amaryllidaceae,Allium,India
10.1111/j.1745-4514.2010.00411.x,"Najjaa, H; Zouari, S; Ammar, E; Neffati, M",2011,"PHYTOCHEMICAL SCREENING AND ANTIBACTERIAL PROPERTIES OF ALLIUM ROSEUM L., A WILD EDIBLE SPECIES IN NORTH AFRICA","Allium roseum L. var. odoratissimum, a North African endemic species, grows in the Southeast of Tunisia and is used as a vegetable, spice or herbal remedy in traditional medicine. This study deals with the phytochemical analyses and antimicrobial activity screening of A. roseum leaves. Aqueous extracts (maceration, digestion, decoction and infusion) and organic extracts (petroleum ether, dichloromethane, methanol and ethanol) were screened for their phytochemical antibacterial activity. Phytochemical screening of A. roseum showed the presence of antimicrobial active compounds such as saponins, tannins, flavonoids, coumarins, steroids, cardiotonic glycosides, free quinone and iridoids. The dichloromethane, petroleum ether and ethanolic extracts of A. roseum exhibited a wide spectrum of antimicrobial activities against Staphylococcus aureus, Staphylococcus epidermidis, Micrococcus luteus, Escherichia coli and Pseudomonas aeruginosa. Such results may establish a good support to the use of this plant in herbal medicine and a base for the development of new drugs and phytomedicine.",JOURNAL OF FOOD BIOCHEMISTRY,WILEY,,ESSENTIAL OIL COMPOSITION; MEDICINAL-PLANTS; EXTRACTS; DIET,"[Najjaa, Hanen; Zouari, Sami; Neffati, Mohamed] Inst Arid Areas, Lab Range Ecol, Medenine 4119, Tunisia; [Najjaa, Hanen; Ammar, Emna] Natl Engn Sch Sfax, UR Study & Management Urban & Coastal Environm, Sfax 3038, Tunisia",ALLIUM ROSEUM,,Amaryllidaceae,,"noise, tannins, iridoids, noise, anthraquinones, flavonoids, saponins, steroids, coumarins","noise, tannins, iridoids, noise, anthraquinones, flavonoids, saponins, steroids, coumarins","Micrococcus luteus, Staphylococcus aureus, Staphylococcus epidermidis, Escherichia coli, Pseudomonas aeruginosa","positive, positive, positive, negative, negative",,ALLIUM ROSEUM,Amaryllidaceae,Allium,Tunisia
10.15244/pjoes/145608,"Amin, E; Abdel-Bakky, MS; Mohammed, HA; Chigrupati, S; Qureshi, KA; Hassan, MHA",2022,Phytochemical Analysis and Evaluation of the Antioxidant and Antimicrobial Activities of Five Halophytes from Qassim Flora,"Halophytes are salt tolerating plants that grow in variable habitats, such as deserts and steppes. Chenopodiaceae and Amaranthaceae are two families widely prevailing in Saudi Arabia. They include plenty of previously unexplored halophytes. In a research program aimed at exploring the phytochemical content and biological potential of Qassim region halophytes; the current study presents phytochemical analysis as well as assessment of the antioxidant and antimicrobial activity of the five halophytes: Agathophora alopecuroides var. papillosa, Atriplex leucoclada, Halothamnus bottae, Salsola villosa, and Salicornia persia ssp. Iranica. Results of qualitative phytochemical analysis indicated the presence of saponins, tannins, sterols, carbohydrates, and flavonoids in all tested species. The comparison of the phenolic content of the five species revealed the highest total phenolics content and total flavonoids content in S. villosa (135.2 mg GAE/g and 18.2 mg QE/g, respectively) and A. leucoclada (134.1 mg GAE/g and 21.2 mg QE/g, respectively). Investigation of the antioxidant potential demonstrated the highest activity of H. bottae followed by S. villosa (IC50 263.7 and 290.7 mu g/mL, respectively). Additionally, screening of the antimicrobial activity revealed potent activity of Salicornia persia, H. bottae, and S. villosa against Staphylococcus aureus while none of the tested extracts displayed antifungal activity against tested fungal species.",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,HARD,halophytes; TPC; TFC; antioxidant; antimicrobial activity,EXTRACTS; FERTILIZERS; PHENOLICS,"[Amin, Elham; Mohammed, Hamdoon A.; Chigrupati, Sridevi] Qassim Univ, Dept Med Chem & Pharmacognosy, Coll Pharm, Buraydah 51452, Saudi Arabia; [Amin, Elham; Hassan, Marwa H. A.] Beni Suef Univ, Dept Pharmacognosy, Fac Pharm, Bani Suwayf 62514, Egypt; [Abdel-Bakky, Mohamed Sadek] Qassim Univ, Dept Pharmacol & Toxicol, Coll Pharm, Buraydah 51452, Saudi Arabia; [Abdel-Bakky, Mohamed Sadek] Al Azhar Univ, Dept Pharmacol & Toxicol, Fac Pharm, Cairo 11751, Egypt; [Mohammed, Hamdoon A.] Al Azhar Univ, Dept Pharmacognosy, Fac Pharm, Cairo 11751, Egypt; [Qureshi, Kamal A.] Qassim Univ, Dept Pharmaceut, Unaizah Coll Pharm, Unaizah 51911, Saudi Arabia",bottae,"Halothamnus bottae, Atriplex leucoclada, Agathophora alopecuroides, Salsola villosa",,"Amaranthaceae, Amaranthaceae, Amaranthaceae, Amaranthaceae","phenolics, tannins, phenolics, flavonoids, saponins","phenolics, tannins, phenolics, flavonoids, saponins",Staphylococcus aureus,positive,,"Halothamnus bottae, Atriplex leucoclada, Agathophora alopecuroides, Salsola villosa","Amaranthaceae, Amaranthaceae, Amaranthaceae, Amaranthaceae","Halothamnus, Atriplex, Agathophora, Salsola",Saudi Arabia
10.1021/jf902991t,"Agüero, MB; Gonzalez, M; Lima, B; Svetaz, L; Sánchez, M; Zacchino, S; Feresin, GE; Schmeda-Hirschmann, G; Palermo, J; Wunderlin, D; Tapia, A",2010,Argentinean Propolis from Zuccagnia punctata Cav. (Caesalpinieae) Exudates: Phytochemical Characterization and Antifungal Activity,"This paper reports the in vitro antifungal activity of propolis extracts from the province of Tucuman (Argentina) as well as the identification of their main antifungal compounds and botanical origin. The antifungal activity was determined by the microdilution technique, using reference microorganisms and clinical isolates. All dermatophytes and yeasts tested were strongly inhibited by different propolis extracts (MICs between 16 and 125 mu g mL(-1)). The most susceptible species were Microsporum gypseum, Trichophyton mentagrophytes, and Trichophyton rubrum. The main bioactive compounds were 2',4'-dihydroxy-3'-methoxychalcone 2 and 2',4'-dihydroxychalcone 3. Both displayed strong activity against clinical isolates of T rubrum and T mentagrophytes (MICs and MFCs between 1.9 and 2.9 mu g mL(-1)). Additionally, galangin 5, pinocembrin 6, and 7-hydroxy-8-methoxyflavanone 9 were isolated from propolis samples and Zuccagnia punctata exudates, showing moderate antifungal activity. This is the first study matching the chemical profile of Z. punctata Cav. exudates with their corresponding propolis, giving strong evidence on the botanical origin of the studied propolis.",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,AMER CHEMICAL SOC,Argentinean propolis; antifungal activity; chalcones; HPLC-ESI-MS/MS,CHEMICAL-COMPOSITION; ANTIOXIDANT ACTIVITY; ANTIBACTERIAL; FLAVONOIDS; ORIGIN,"[Belen Agueero, Maria; Lima, Beatriz; Egly Feresin, Gabriela; Tapia, Alejandro] Univ Nacl San Juan, Inst Biotecnol, Inst Ciencias Basicas, RA-5400 San Juan, Argentina; [Gonzalez, Mariela] Univ Nacl Tucuman, Fac Ciencias Exactas & Tecnol, RA-4000 San Miguel De Tucuman, Tucuman, Argentina; [Svetaz, Laura; Zacchino, Susana] Univ Nacl Rosario, Fac Ciencias Bioquim & Farmaceut, RA-2000 Rosario, Santa Fe, Argentina; [Sanchez, Marianela; Palermo, Jorge] Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Quim Organ, UMYMFOR, RA-1428 Buenos Aires, DF, Argentina; [Schmeda-Hirschmann, Guillermo] Univ Talca, Lab Quim Prod Nat, Inst Quim Recursos Nat, Talca, Chile; [Wunderlin, Daniel] Univ Nacl Cordoba, CONICET, Fac Ciencias Quim, ISIDSA CIBICI, RA-5000 Cordoba, Argentina",Zuccagnia punctata,,Fabaceae,,"flavonoids, flavonoids, flavonoids","flavonoids, flavonoids, flavonoids",,,"Trichophyton mentagrophytes, Trichophyton rubrum",Zuccagnia punctata,Fabaceae,Zuccagnia,Argentina
10.1016/j.heliyon.2023.e15276,"Leal, M; Mercado, MI; Moreno, MA; Chamas, JJM; Ponessa, GI; Zampini, IC; Simirgiotis, MJ; Isla, MI",2023,Gochnatia glutinosa (D.Don) D.Don ex Hook. & Arn.: A plant with medicinal value against inflammatory disorders and infections,"Gochnatia glutinosa is a shrub that grown in the Argentinean semiarid region (Monte region) used in the ancestral medicine as an antiseptic and anti-inflammatory agent. This study was aimed to examine the morpho-anatomical characteristics of G. glutinosa aerial parts, identify the chemical composition of traditionally used preparations to assess its pharmacobotanical characterization and evaluate its activity as antiseptic and anti-inflammatory to give scientific support to its traditional uses. G. glutinosa morpho-anatomical description was performed following standard histological techniques. Tincture and infusion of its aerial parts were prepared and were subjected to phytochemical analysis. Xanthine oxidase (XOD) and lipoxygenase (LOX) inhibition experiments, as well as ABTS & BULL;+, superoxide radical, and hydrogen peroxide scavenging activity, were carried out. The growth inhibition of methicillin-resistant Staphylococcus aureus (MRSA) strains was also determined. The morpho-anatomical traits of G. glutinosa leaves and stems were reported for the first time. The medicinal preparations exhibited a large amount of phenolic chemicals mainly flavonoids such as rhamnetin, arcapillin, rhamnacin, hesperetin, isorhamnetin, centaureidin, europetin 7-Omehylmyricetin, cirsiliol, sakuranetin, genkwanin and eupatorine and also phenolic acids and diterpenoid derivatives. Both preparations had free radical scavenging activity and were able to reduce both XOD and LOX activity, indicating their anti-inflammatory properties. Besides, tincture was effective against all MRSA strains (MIC values ranging from 60 to 240 g DW/mL). The results obtained in this work scientifically support the medicinal popular use of G. glutinosa as an antiseptic and anti-inflammatory. The identification of bioactive compounds and their",HELIYON,CELL PRESS,Gochnatia glutinosa; Argentine medicinal plant; Antiseptic activity; Anti-inflammatory activity,LATIN-AMERICAN PLANTS; ANTIMICROBIAL ACTIVITY; ANTIOXIDANT CAPACITY; FLAVONOIDS; ASTERACEAE; LEAF; INHIBITION; IDENTIFICATION; CONSTITUENTS; CHEMISTRY,"[Leal, Mariana; Mercado, Maria Ines; Chamas, Jose Javier Martinez; Zampini, Iris Catiana; Isla, Maria Ines] Univ Nacl Tucuman, Fac Ciencias Nat & IML, Lab Invest Prod Nat LIPRON, Inst Bioprospecc & Fisiol Vegetal INBIOFIV CONICE, San Lorenzo 1469, San Miguel De Tucuman, Tucuman, Argentina; [Mercado, Maria Ines; Ponessa, Graciela Iries] Fdn Miguel Lillo, Inst Morfol Vegetal Area Bot, Miguel Lillo 251, San Miguel De Tucuman, Tucuman, Argentina; [Simirgiotis, Mario J.] Univ Austral Chile, Fac Ciencias, Inst Farm, Campus Isla Teja, Valdivia 5090000, Chile; [Isla, Maria Ines] Univ Nacl Tucuman, Fac Ciencias Nat, Inst Bioprospecc & Fisiol Vegetal INBIOFIV, CONICET,UNT, San Lorenzo 1469, San Miguel De Tucuman, Tucuman, Argentina; [Moreno, Maria Alejandra; Zampini, Iris Catiana] Inst Bioprospecc & Fisiol Vegetal INBIOFIV, CONICET, UNT, San Lorenzo 1469, San Miguel De Tucuman, Tucuman, Argentina",Gochnatia glutinosa,,Asteraceae,,"diterpenes, phenolics, noise, flavonoids","diterpenes, phenolics, noise, flavonoids",Staphylococcus aureus,positive,,Gochnatia glutinosa,Asteraceae,Gochnatia,Argentina
,"Laruan, LMV; Balangcod, T; Balangcod, K; Patacsil, M; Apostol, O; Manuel, J; Cortez, S; Vallejo, V",2013,"Phytochemical and antibacterial study of Lagerstroemia speciosa (L.) Pers. and its ethnomedicinal importance to indigenous communities of Benguet Province, Philippines","The methanolic extract of Lagerstroemia speciosa (L.) Pers. leaves, locally known as Banaba, collected from Sablan, Benguet Province, Philippines was subjected to phytochemical analysis for secondary metabolites and antibacterial screening against Escherichia coli, Salmonella typhimurium, Staphylococcus aureus, and Pseudomonas aeruginosa using a modified Kirby-Bauer method. Phytochemical analysis revealed the presence of anthraquinones, fiavonoids, saponins, and tannins. The extract exhibited high antibacterial activity against three of the bacteria in order of sensitivity as Escherichia coli > Staphylococcus aureus > Pseudomonas aeruginosa, but had no activity against Salmonella typhimurium. The medicinal value of this plant could be attributed to the presence of one or more of the detected metabolites. Antibacterial activity possibly shows a basis for traditional use of the plant as a local health remedy to the indigenous communities of Benguet Province, Philippines.",INDIAN JOURNAL OF TRADITIONAL KNOWLEDGE,NATL INST SCIENCE COMMUNICATION-NISCAIR,Lagerstroemia speciosa (L.) Pers.; Antibacterial; Phytochemistry; Banaba; Indigenous use,COROSOLIC ACID,"[Laruan, L. M. V.] St Louis Univ, Sch Nat Sci, Dept Pharm, St Louis, MO 63103 United States of America; [Balangcod, Teodora; Balangcod, Kryssa] Univ Philippines Baguio, Coll Sci, Dept Bot, Baguio, Philippines; [Patacsil, Melba; Apostol, Orlando; Vallejo, Vilma] Univ Philippines Baguio, Coll Sci, Dept Phys Sci, Baguio, Philippines; [Manuel, Jayjay] Univ Cordilleras, Coll Arts & Sci, Dept Biol, Baguio, Philippines; [Cortez, Sonny] Baguio Cent Univ, Coll Arts & Sci, Dept Nat Sci, Baguio, Philippines",Lagerstroemia speciosa,,Lythraceae,,"saponins, tannins, anthraquinones","saponins, tannins, anthraquinones","Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa","positive, negative, negative",,Lagerstroemia speciosa,Lythraceae,Lagerstroemia,United States
